anio;mes;mes-año;provincia;rubro_A12;operaciones
2019;1;ene-19;SANTIAGO DEL ESTERO;Motos y Bicicletas; 199 
2019;1;ene-19;SANTIAGO DEL ESTERO;Muebles; 108 
2019;1;ene-19;SANTIAGO DEL ESTERO;Teléfonos Celulares 4G; 881 
2019;1;ene-19;SANTIAGO DEL ESTERO;Turismo; 81 
2019;1;ene-19;TIERRA DEL FUEGO;Anteojos; 96 
2019;1;ene-19;TIERRA DEL FUEGO;Artículos de Librería; 44 
2019;1;ene-19;TIERRA DEL FUEGO;Balnearios; 27 
2019;1;ene-19;TIERRA DEL FUEGO;Calzado y Marroquinería; 442 
2019;1;ene-19;TIERRA DEL FUEGO;Colchones; 53 
2019;1;ene-19;TIERRA DEL FUEGO;Electrodomésticos; 257 
2019;1;ene-19;TIERRA DEL FUEGO;Indumentaria; 4.954 
2019;1;ene-19;TIERRA DEL FUEGO;Instrumentos musicales; 1 
2019;1;ene-19;TIERRA DEL FUEGO;Juguetes y Juegos de mesa; 24 
2019;1;ene-19;TIERRA DEL FUEGO;Libros; 64 
2019;1;ene-19;TIERRA DEL FUEGO;Materiales para la construcción; 886 
2019;1;ene-19;TIERRA DEL FUEGO;Motocicletas; 1 
2019;1;ene-19;TIERRA DEL FUEGO;Motos y Bicicletas; 155 
2019;1;ene-19;TIERRA DEL FUEGO;Muebles; 265 
2019;1;ene-19;TIERRA DEL FUEGO;Teléfonos Celulares 4G; 42 
2019;1;ene-19;TIERRA DEL FUEGO;Turismo; 21 
2019;1;ene-19;TUCUMAN;Anteojos; 208 
2019;1;ene-19;TUCUMAN;Artículos de Librería; 20 
2019;1;ene-19;TUCUMAN;Balnearios; 19 
2019;1;ene-19;TUCUMAN;Bicicletas; 241 
2019;1;ene-19;TUCUMAN;Calzado y Marroquinería; 16.768 
2019;1;ene-19;TUCUMAN;Colchones; 329 
2019;1;ene-19;TUCUMAN;Electrodomésticos; 1.494 
2019;1;ene-19;TUCUMAN;Indumentaria; 28.516 
2019;1;ene-19;TUCUMAN;Instrumentos musicales; 26 
2019;1;ene-19;TUCUMAN;Juguetes y Juegos de mesa; 2.163 
2019;1;ene-19;TUCUMAN;Libros; 46 
2019;1;ene-19;TUCUMAN;Materiales para la construcción; 2.184 
2019;1;ene-19;TUCUMAN;Motocicletas; 1 
2019;1;ene-19;TUCUMAN;Motos y Bicicletas; 1.641 
2019;1;ene-19;TUCUMAN;Muebles; 513 
2019;1;ene-19;TUCUMAN;Teléfonos Celulares 4G; 618 
2019;1;ene-19;TUCUMAN;Turismo; 430 
2019;2;feb-19;BUENOS AIRES;Anteojos; 7.302 
2019;2;feb-19;BUENOS AIRES;Artículos de Librería; 7.812 
2019;2;feb-19;BUENOS AIRES;Balnearios; 2.604 
2019;2;feb-19;BUENOS AIRES;Bicicletas; 920 
2019;2;feb-19;BUENOS AIRES;Calzado y Marroquinería; 122.883 
2019;2;feb-19;BUENOS AIRES;Colchones; 3.725 
2019;2;feb-19;BUENOS AIRES;Electrodomésticos; 30.489 
2019;2;feb-19;BUENOS AIRES;Indumentaria; 522.976 
2019;2;feb-19;BUENOS AIRES;Instrumentos musicales; 319 
2019;2;feb-19;BUENOS AIRES;Juguetes y Juegos de mesa; 24.086 
2019;2;feb-19;BUENOS AIRES;Libros; 5.975 
2019;2;feb-19;BUENOS AIRES;Materiales para la construcción; 32.272 
2019;2;feb-19;BUENOS AIRES;Motocicletas; 10 
2019;2;feb-19;BUENOS AIRES;Motos y Bicicletas; 9.191 
2019;2;feb-19;BUENOS AIRES;Muebles; 11.418 
2019;2;feb-19;BUENOS AIRES;Sin clasificar; 378 
2019;2;feb-19;BUENOS AIRES;Teléfonos Celulares 4G; 7.874 
2019;2;feb-19;BUENOS AIRES;Turismo; 1.074 
2019;2;feb-19;CATAMARCA;Anteojos; 116 
2019;2;feb-19;CATAMARCA;Artículos de Librería; 105 
2019;2;feb-19;CATAMARCA;Bicicletas; 17 
2019;2;feb-19;CATAMARCA;Calzado y Marroquinería; 959 
2019;2;feb-19;CATAMARCA;Colchones; 27 
2019;2;feb-19;CATAMARCA;Electrodomésticos; 263 
2019;2;feb-19;CATAMARCA;Indumentaria; 1.575 
2019;2;feb-19;CATAMARCA;Instrumentos musicales; 6 
2019;2;feb-19;CATAMARCA;Juguetes y Juegos de mesa; 84 
2019;2;feb-19;CATAMARCA;Libros; 78 
2019;2;feb-19;CATAMARCA;Materiales para la construcción; 205 
2019;2;feb-19;CATAMARCA;Motos y Bicicletas; 145 
2019;2;feb-19;CATAMARCA;Muebles; 52 
2019;2;feb-19;CATAMARCA;Teléfonos Celulares 4G; 83 
2019;2;feb-19;CHACO;Anteojos; 688 
2019;2;feb-19;CHACO;Artículos de Librería; 298 
2019;2;feb-19;CHACO;Balnearios; 71 
2019;2;feb-19;CHACO;Bicicletas; 39 
2019;2;feb-19;CHACO;Calzado y Marroquinería; 2.540 
2019;2;feb-19;CHACO;Colchones; 71 
2019;2;feb-19;CHACO;Electrodomésticos; 2.383 
2019;2;feb-19;CHACO;Indumentaria; 11.755 
2019;2;feb-19;CHACO;Juguetes y Juegos de mesa; 237 
2019;2;feb-19;CHACO;Libros; 94 
2019;2;feb-19;CHACO;Materiales para la construcción; 824 
2019;2;feb-19;CHACO;Motos y Bicicletas; 421 
2019;2;feb-19;CHACO;Muebles; 466 
